Nombre,Pop
Ancon,62 928
Ate,599 196
Barranco,34 378
Brena,85 309
Carabayllo,333 045
Chaclacayo,42 912
Chorrillos,314 241
Cieneguilla,34 684
Comas,520 450
El Agustino,198 862
Independencia,211 360
Jesus Maria,75 359
La Molina,140 679
La Victoria,173 630
Lince,54 711
Los Olivos,325 884
Lurigancho,240 814
Lurin,89 195
Magdalena del Mar,60 290
Pueblo Libre,83 323
Miraflores,99 337
Pachacamac,110 071
Pucusana,14 891
Puente Piedra,329 675
Punta Hermosa,15 874
Punta Negra,7 074
Rimac,174 785
San Bartolo,7 482
San Borja,113 247
San Isidro,60 735
San Juan de Lurigancho,1 038 495
San Juan de Miraflores,355 219
San Luis,52 082
San Martin de Porres,654 083
San Miguel,155 384
Santa Anita,196 214
Santa Maria del Mar,999
Santa Rosa,27 863
Santiago de Surco,329 152
Surquillo,91 023
Villa El Salvador,393 254
Villa Maria del Triunfo,398 433
Lima,268 352